 ,ITEM,KATEGORI BAHAN,,UNIT SO (),UNIT GUDANG,BERDASARKAN SATUAN SO [12/08/2026],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TOTAL,DIVISI,KETERANGAN,MINIMUM STOCK,ISTILAH DATA RESEP,,
,,,,,,13,13,14,20,,21,,22,,23,,24,,25,,26,,27,,28,,29,,30,,31,,1,,,2,,3,,4,,5,,6,,7,,8,,9,,10,,,,,,,,
,,,,,,SO,in,out,in,out,in,out,in,out,in,out,in,out,,out,in,out,in,out,in ,out,in,out,in,out,in,out,SO ,in,out,in,out,in,out,in,out,in,out,in,out,in,out,in,out,in,out,in,out,,,,,,,
297,Thermal Paper Kecil,,,pcs,pack,,,,,,,,,,,,,,,,,,,,,3,,,,,,,4,,,,,,2,,,,,,,,,,,,,,,0,,,,,,
298,Thermal Paper Besar,KEMASAN,,pcs,dus,,,,,,,,,,,,,,50,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,KITCHEN,,25,,,
299,Thinwall Besar 750 ml 25 pcs,KEMASAN,,,pack,125,,,,,,,,,,,,1,,,,,,,,,,,,,,2,17,,,,,,3,,,,,,,,,,,,,,,125,KITCHEN,,1,,,
300,Thinwall Kecil 300 ml 25 pcs,KEMASAN,,,pack,175,,,,,,,,,,,,2,,,,,,,,,,,,,,,13,,,,,,2,,,,,,,,,,,,,,,175,KITCHEN,,1,,,
301,Timun,BASAH,,gr,gr,,,,,,,,,,,,,,,,,,250,,,,,,,,,,,,,,,,500,,,,,,,,,,,,,,,0,KITCHEN,,250,,,
302,Tissue Cuci Tangan uk.20 x 20 cm,,,,pack,5,,,,,,,,,,,,,,,,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,5,,,,,,
303,Tissue Dapur - roll,KERING,,roll,dus,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,6,KITCHEN,,5,,,
304,Tissue Meja uk. 9 x 10 cm,,,pack,dus,174,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,174,,,,,,
305,Tissue Wajah 1000 gr 20x18cm,,,,pack,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,,,,,,
306,Tissue Wajah 250gr uk.20 x 18 cm,,,,pack,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,
307,Tomat Fresh,BASAH,,gr,gr,,,,,,,,,,,,,,,,,,250,,,,,,,,,,,,,,,,500,,,,,,,,,,,,,,,0,KITCHEN,,500,,,
308,Tomat Ceri Fresh 1 kg,BASAH,,gr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,KITCHEN,,100,,,
309,"Saos Cabe Delmonte Jerigen 5,5 kg",KERING,,,Kompan,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,KITCHEN,,5500,,,
310,Trash Bag Jumbo 80 x 120,KEMASAN,,pack,pack,18,,,,,,,,,,,,2,,,,,,,,7,,,,,,7,10,,,,,,,,,,,,,,,,,,,,,18,,,,,,
311,Torch gas,KERING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,KITCHEN,,1,,,
312,"Tuna Chunk Oil SunBell 1,8 kg",,,,kaleng,3,,,,,3,,,,,,,1,,,,,,,,,,,,,,,3,,,,,,1,,,,,,,,,,,,,,,6,,,,,,
313,Tusuk gigi,,,pcs,pack,16,,,,,,,,,,,,,,,,,,,,,,,,,,,31,,,,,,,,,,,,,,,,,,,,,16,BAR,,,,,
314,Vixal 360 gr,,,,botol,3,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,2,,,,,,,,,,,,,,,1,,,,,,
315,"Wedges mc cain 2,27 kg",KERING,,,pack,9080,,,,,,,,,,,,,,,,,,,,,,,,,,,8,,,,,,1,,,,,,,,,,,,,,,9080,KITCHEN,,45400,,,
316,Whey Protein 800gr,KERING,,gr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
317,Wijen 70gr,KERING,,gr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,KITCHEN,,20,,,
318,Wortel,BASAH,,,Kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,0,KITCHEN,,500,,,
319,Yakult 65ml,DAIRY,,pcs,pcs,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,25,,,,,,,,,,,,,,,0,BAR,,15,,,
320,Zip Lock Besar,KEMASAN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,KITCHEN,,1,,,
321,Zip Lock Kecil,KEMASAN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,KITCHEN,,1,7x 10 cm,,
322,Zoda 24 botol,KERING,,botol,botol,72,,,,,,,,,,,,24,,,120,,,,,24,,,,,,,12,,,,,,,,,,,,,,,,,,,,,72,BAR,,10,,,
323,Tiparos Fish Sauce 700 ML,,,,,,,,,,700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
324,Palm Sugar Dilco 1000 ML,,,,botol,,,,,,25000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
325,Prochiz Premium Cheddar Slice 160 g,,,,pack,,,,,,1600,,,,,,,,,,,,,,,,,,,,,,,20,,,,,10,,,,,,,,,,,,,,,,,,,,,
326,Jays Sesame Seed Toasted 70 g,,,,,,,,,,350,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,
327,Strawberry Fresh Grade B,,,,kg,,,,,,,,,,2000,,,,,,,,,,,2,,,,,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,
328,Strawberry Fresh Grade C,,,,,,,,,,,,,,2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
329,Box Nasi Oren,,,,,,,,,,,,,,,,,,,,,,2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
330,Alas Kue Tiramisu Gold,,,,pack,,,,,,,,,,,,,,,,2,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
331,"Detergen Cair Gentle Gen 1,5 kg",,,,pouch,,,,,,,,,,,,,,,,2,,,,,,,,,,,2,14,,,,,,,,,,,,,,,,,,,,,10,,,,,,
332,Botol Gemoy 250 ml,,,,,,,,,,,,,,,,,,,,,,,,200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
333,Hansaplast,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
334,Kresek Tulip Putih 26,,,gr,pack,,,,,,,,,,,,,,,,10,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
335,Mentega Anchor Bakers Mix Butter,,,,kg,,,,,,,,,,,,,,,,,,5,,,5,,,,,,,,6,,,,,6,,,,,,,,,,,,,,,,,,,,,
336,Mika roll 10 cm,,,,roll,,,,,,,,,,,,,,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
337,Plastik AA 10x20 cm bening,,,,pack,,,,,,,,,,,,,,,,4,,,,,,,,,,,2,14,,,,,,,,,,,,,,,,,,,,,,,,,,,
338,Trash Bag Sedang uk.30 Pelita,,,,pack,,,,,,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,
339,Tray Nasi Box 20x20 Putih,,,,pack,,,,,,,,,,,,,,,,,,1500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
340,Tissue Meja Livi 150s,,,,dus,,,,,,,,,,,,,,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
341,Frozen Blueberry 500 gr,,,,pack,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
342,Beras 5 kg,,,,karung,,,,,,,,,,,,,,,,,,,,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
343,Kikoman Fish Sauce,,,,botol,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
344,Kerupuk Rambak,,,,pcs,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,14,,,,,,,,,3,,,,,,,,,,,,
345,Cocktail Shaker Stainless 750 mL,,,,pcs,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,
346,Squeezed Dispenser 32 oz,,,,pcs,,,,,,,,,,,,,,,,,,,,,,2,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
347,Spork Candi 2in1,,,,pcs,,,,,,,,,,,,,,,,,,,,,,3000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
348,Box Nasi Polos - Warna Putih,,,,pcs,,,,,,,,,,,,,,,,,,,,,,,,,,,2000,,,,,,,1000,,,,,,,,,,,,,,,,,,,,,
349,Kecap Manis Anggur 600 mL - botol kaca,,,,botol,,,,,,,,,,,,,,,,,,,,,,,,,,,1,7,,,,,,,12,,,,,,,,,,,,,,,,,,,,
350,Nata de Coco,,,,pcs,,,,,,,,,,,,,,,,,,,,,,,,,,6,,1,,,,,,5,,,,,,,,,,,,,,,,,,,,,
351,Paper Wrap 20 x 20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,
352,Plastik HD Buram 15x30 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,
353,Kantong plastik semar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
354,Kantong plastik kapal terbang ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,
355,Trash Bag 90x120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
356,Tali Segel plastik,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
357,Pipping Bag Besar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,5,,,,,,,,,,,,
358,Pipping Bag Kecil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,
359,Cup Sauce Klir,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,
360,Sendok Plastik Putih Isi 100 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
361,Botol Saus ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
362,Butter Gioia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
363,Danish Pastry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
364,Strawberry frozen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
365,Anchor Mozzarella ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,
366,Cranberry ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
367,Super Pel 550ml,,,,pouch,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,2,,,,,,,,,,,,,,,,,,,,,
368,Nipis Madu 330 mL,,,,dus,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,1 dus = 12 pcs,,,,
369,Lada Hitam Bubuk 250 gr,,,,pack,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,
370,Lada Putih Bubuk 250 gr,,,,pack,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,
371,Coarse Bran Golden Eagle 1 Kg,,,,pack,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,
372,Maizena Rose Brand 500 gr,,,,pack,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,
373,Tissue Wajah Montis,,,,pack,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,
374,Tissue Wajah Livi,,,,pack,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,
375,"Minyak Goreng Sovia 1,8L",,,,liter,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
376,Mentega Repack 1 Kg,,,,Kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
377,Gelatine Repack 500 gr,,,,pack,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
378,Susu Kental Manis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
379,Cabe Kering TW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,
380,So Klin Softener ,,,,dus,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,1 dus = 6 pcs,,,,
381,Delmonte Pouch Sambal ,,,,pouch,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,
382,Mie Urai ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,
383,Emping Mini,,,,Kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
384,Bumbu Gule Daging Racik,,,,pcs,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
385,Chia Seed 1 Kg,,,,Kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
386,Steviol,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,
387,Tong Tji Celup ,,,,pack,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,,,,,,1,,,,,,,,,,,,,,,,,,,,,
388,Bakers Mix Milk Powder,,,,pack,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,,,,,,6,,,,,,,,,,,,,,,,,,,,,
389,Leakproof 90mm (Tutup Hot Medium),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
390,Leakproof 90mm Frost (Tutup Cup Ice),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,
391,Paper Cup 8 oz Polos ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,5,,,,,,,,,,,,,,,,,,,,,
392,Paper Cup Medium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,,,,,,,,,,,,,,,,,,,,,,,,,,,
393,Paper Cup Small,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,,,,,,,,,,,,,,,,,,,,,,,,,,,
394,Sedotan Biru,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,
395,Sedotan Hitam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,
396,Paper Box ER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,
397,Saus sambal bawang cap swan,,,,pack,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,5,,,,,,,,,,,,,,,,,,,,,
398,Chocolate Tulip - Filling,,,,Kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,,,,,6,,,,,,,,,,,,,,,,,,,,,
399,Kacang Atom Garuda 16 g,,,,bal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,2,,,,,,,,,,,,,,,,,1 bal = 60 pcs,,,,
400,Gery Chocolatos Dark,,,,dus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
401,Super Sol Sereh 720 g,,,,dus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,1 dus = 12 pcs,,,,
402,Ekonomi EL-900K 380G,,,,dus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,1 dus = 12 pcs,,,,
403,Larisst Karbol Sereh 4 L,,,,kompan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,2,,,,,,,,,,,,,,,,,,,,,
404,Gentle Gen Silk Rose 1.5 L,,,,dus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,1 dus = 6 pcs,,,,
405,Kresek Tulip Putih 15,,,,pack,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,,,5,,,,,,,,,,,,,,,,,,,,,
406,Kresek Putih 40,,,,pack,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,,,20,,,,,,,,,,,,,,,,,,,,,
407,Kresek Putih 30,,,,pack,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,,,20,,,,,,,,,,,,,,,,,,,,,
408,"Plastik Dollar 50x80x0,03",,,,Kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,2,,,,,,,,,,,,,,,,,,,,,
409,Sirup Tjampolay rasa Pisang Susu,,,,botol,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,
410,Polki spray cleaner greentea,,,,botol,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,
411,Sendok plastik bening mini,,,,pack,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,
412,Botol saus kosong - uk. 500ml,,,,pcs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,
413,Santan Kara 200ml,,,,dus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,1,,,,,,,,,,,,,,,,,,,,,
414,Lada Putih Butir,,,,gr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,500,,,,,,,,,,,,,,,,,,,,,
415,Lada Hitam Butir,,,,gr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,500,,,,,,,,,,,,,,,,,,,,,
416,Cup Saos 60ml,,,,pack,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,
417,Plastik Buram uk. 10 x 20,,,,pack,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,,,,,,,,,,,,,,,,,,,,,
418,Hand Glove Karet,,,,pack,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,
419,Plastik Wrap Fuji 40x25 m,,,,roll,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,1,,,,1,,,,,,,,,,,,,,,,,,,,,
420,Tahu Kuning ,,,,pcs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,,,,,,,,,,,,,,,,,,,,,
421,Siticky Notes,,,,pack,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,
422,Arabica White Rabbit Espresso 1 KG,,,,pack,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,
423,House Blend 050 Flok 1 KG,,,,pack,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,,,,,,,,,,,,,,,,,,,,,,,,,,
424,Kara Nata de Coco Plain 1 KG,,,,ctn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
425,"Chocolate Stick Batons Tulip 1,5 kg",,,,pcs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,
,Butter Mix Margarine Anchor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,
