 ,ITEM,KATEGORI BAHAN,,UNIT SO (),UNIT GUDANG,BERDASARKAN SATUAN SO [12/08/2026],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TOTAL,DIVISI,KETERANGAN,MINIMUM STOCK,ISTILAH DATA RESEP,,
,,,,,,13,13,14,20,,21,,22,,23,,24,,25,,26,,27,,28,,29,,30,,31,,1,,,2,,3,,4,,5,,6,,7,,8,,9,,10,,,,,,,,
,,,,,,SO,in,out,in,out,in,out,in,out,in,out,in,out,,out,in,out,in,out,in ,out,in,out,in,out,in,out,SO ,in,out,in,out,in,out,in,out,in,out,in,out,in,out,in,out,in,out,in,out,,,,,,,
79,Bon Patis - French Baguette,KERING,,gr,pcs,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,KITCHEN,"per pcs 260 gr, per dus 4160 gr, 16pcs",5,,,
80,French Fries Golden Farm 1 kg,KERING,,gr,pack,16000,,,,,,,,,,,,,,,,,,,,12,,,,,,,13,,,,,,12,,,,,,,,,,,,,,,16000,KITCHEN,,3000,,,
81,Fructose - Rose Brand 5 kg,KERING,,,jerigen,10000,,,,,,,,,,,,,,,3,,,,,,,,,,,2,1,,,,,,1,2,,,,,,,,,,,,,,10000,BAR,1 kompan,5000,,,
82,Galon Amidis 15 L,KERING,,botol,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,BAR,,2,,,
83,Galon Cleo 19 L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
84,Garam Dolpin 1 kg,KERING,,gr,kg,1000,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,1000,KITCHEN,,500,,,
85,Garam Dolpin 500 gr,,,,gr,8000,,,,,,,,,,,,,,,,,,,,,,,,,,,9,,,,,,,,,,,,,,,,,,,,,8000,,,,,,
86,Garpu Plastik 100 pcs,KEMASAN,,,pcs,1900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1900,BAR,1 pack = 50pcs,1,,,
87,Gas 12kg ,KERING,,pcs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,KITCHEN,,1,,,
88,Susu Greenfield Fresh Milk 1L,DAIRY,,liter,dus,71000,,,,,,,,,,,,,,,,,4,,,3,,,,,,2,11,,,,,4,1,,,,,,,,,,,,,,,71000,BAR,1 dus = 12 L,12000,,,
89,Gula Aren Cair,KERING,,,liter,15000,,,,,,,,,,,,3,,,,,,,,2,,,,,,5,4,,,,,,10,,,,,,,,,,,,,,,15000,BAR,1L,5000,Gula Aren Cair,,
90,Gula Pasir Gulaku,KERING,,gr,kg,22000,,,,,,,,,,,,10,,,24,,,,,3,,,,,,,26,,,,,,1,,,,,,,,,,,,,,,22000,KITCHEN,,1000,Gula,,
91,Gyoza,KERING,,,,,,,,,,,,,,,,,,,,,,,,,300,,,,,,,,,,,,,,,,,,,,,,,,,,,0,KITCHEN,,30,,,
92,Handgloves Karet Hitam,,,,pack,100,,,,,,,,,,,,,,,300,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,,100pcs,,,,
93,Handgloves Plastik,,,,pack,8,,,,,,,,,,,,,,,,,20,,,10,,,,,,,8,,,,,,,,,,,,,,,,,,,,,8,,,,,,
94,Handsoap Refill Yuri 375 ml,,,,pack,15,,,,,,,,,,,,,,,,,,,,1,,,,,,,9,,,,,,5,,,,,,,,,,,,,,,9,,,,,,
95,Handwash Larrist 500 ml,,,,pcs,8,,,,,,,,,,,,,,,,,,,,,,,,,,,8,,,,,,,,,,,,,,,,,,,,,8,,,,,,
96,Himalaya Salt 500gr,KERING,,,,,,,,,,,,,,,,,,,100,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,0,BAR,1 pack = 500gr,200,Garam,,
97,Houseblend Bean,KERING,,gr,kg,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,11,,,,,,,,,,,,,,,0,BAR,,3000,Ground Coffee Houseblend,,
98,Ice Cream Diamond Vanilla 8 L,DAIRY,,,kotak,8000,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,1,,,,,,,,,,,,,,,8000,BAR,,4000,vanila,,
99,Iga,KERING,,,kg,,,,,,,,,,,,,,,,,,,,,,20,,,,,20,,,,,,,,,,,,,,,,,,,,,,0,KITCHEN,,10000,,,
100,Jahe,BASAH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,KITCHEN,,100,Ginger,,
101,Jays Bay Leaves 8 gr,,,gr,botol,48,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,2,,,,,,,,,,,,,,,48,,,,,,
102,Jays Garlic Powder 80 gr,,,gr,botol,480,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,480,,,,,,
103,Jays Garlic Powder 15 gr,,,gr,botol,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,,,,,,
104,Jays Oregano 25 gr,,,gr,botol,200,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,3,,,,,,,,,,,,,,,200,,,,,,
105,Jays Parsley 20 gr,,,gr,botol,120,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,120,,,,,,
106,Jays Wijen 70 gr ,,,gr,botol,70,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70,,,,,,
107,Jasmine Tea,,,ml,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
108,Jeruk Limau,BASAH,,gr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,KITCHEN,,100,,,
109,Jinten Cap Koepoe 32 gr,KERING,,,pcs,960,,,,,,,,,,,,,,,,,,,,,,,,,,,30,,,,,,,,,,,,,,,,,,,,,960,KITCHEN,,20,,,
110,Kacang Kedelai,KERING,,,pack,,,,,,,,,,,,,2,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,0,KITCHEN,1 pack = 500 gr,100,Kacang Kedelai,,
111,Kapulaga,KERING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,KITCHEN,,250,,,
112,Kecap Anggur 6kg - Jerigen,KERING,,gr,kompan,12000,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,3,KITCHEN,1 Jerigen = 6kg/5L,750,,,
113,Kecap Asin - Lee Kum Kee,KERING,,,botol,,,,,,,,2500,,,,,,,,,,,,,,,,,,,10,3,,,,,,,,,,,,,,,,,,,,,0,KITCHEN,,750,,,
114,Kecap Hitam Jamur - Pearl River Bridge,,,,botol,600,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,600,KITCHEN,,,,,
115,Kecap Ikan - Djoe Hoa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
116,Kecap Inggris Sedap Wangi,KERING,,gr,botol,1860,,,,,,,,,,,,,,,,,,,,,,,,,,1,6,,,,,,,,,,,,,,,,,,,,,1860,KITCHEN,1 botol = 620ml,620,,,
117,Kecap Raos,KERING,,ml,botol,1800,,,,,,,21600,,,,,,,,,,,,,1,,,,,,6,17,,,,,,,,,,,,,,,,,,,,,1800,KITCHEN,1 botol =  600 ml ,3000,,,
118,Kemiri,KERING,,gr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,KITCHEN,,1500,,,
119,Kentang,BASAH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,KITCHEN,,500,,,
120,Keresek,KEMASAN,,gr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,BAR,,5,,,
121,Kertas Nasi - Putih 22 x 26,,,,pack,28,,,,,,,,,,,,,,,,,30,,,,,,,,,15,1,,,,,,,,,,,,,,,,,,,,,28,,1 pack,,,,
122,Kertas Nasi - Putih 25 x 27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44,,,,,,,,,,,,,,,,,,,,,,,,,,,
123,Kertas Nasi - Bunga,,,,pack,2,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,2,,1 pack = 250 pcs,,,,
124,Kertas Wrap - Alas Brownies Pastry,,,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,,1 pack = 100 pcs,,,,
125,Kerupuk DDN,KERING,,pax,pack,,,,,,20,,,,,,,10,,,,,,,,25,,,,,20,10,,,,,,,13,30,,,,,,,,20,,,,,,20,KITCHEN,,50,Kerupuk,,
126,Kerupuk Black,,,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,,,,,,
127,Ketumbar Bubuk Cap Koepoe 25 gr,KERING,,,pcs,150,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,150,KITCHEN,,20,Ketumbar,,
128,Knorr Chicken Powder 1 kg,,,gr,pack,2000,,,,,,,,,,,,,,,1,,6,,,,,,,,,,3,,,,,,4,,,,,,,,,,,,,,,2000,,,,,,
129,Knorr Demiglace Sauce 1 kg,,,,pack,4,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,4,,,,,,
130,Kraft Hickory Smoke BBQ,,,,pack,5456,,,,,,,,,,,,,,,,,,,,,,,,,,,11,,,,,,,,,,,,,,,,,,,,,5456,,1 botol = 496gr,,,,
131,Kresek Diamond uk.10,,,pack,pack,20,,,,,,,,,,,,,,,,,,,,,,,,,,5,18,,,,,,5,,,,,,,,,,,,,,,20,,,,,,
132,Kresek Diamond uk.15,,,pack,pack,37,,,,,,,,,,,,,,,,,,,,,,,,,,5,3,,,,,,5,,,,,,,,,,,,,,,37,,,,,,
133,Kresek Diamond uk.20,,,pack,pack,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,,,,,,,,,,,,,,,,,,,,,0,,,,,,
134,Kresek Diamond uk.24,,,pack,pack,37,,,,,,,,,,,,,,,,,,,,,,,,,,10,3,,,,,,,15,,,,,,,,,,,,,,37,,,,,,
135,Kresek Idola 20 x 35 ,,,,pack,11,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,11,,,,,,
136,Kresek ink uk.10,,,,pack,42,,,,,,,,,,,,,,,,,,,,,,,,,,,31,,,,,,,,,,,,,,,,,,,,,42,,,,,,
137,Kresek ink uk.15,,,,pack,50,,,,,,,,,,,,,,,,,,,,,,,,,,,35,,,,,,,,,,,,,,,,,,,,,50,,,,,,
138,Kresek ink uk.24,,,,pack,10,,,,,,,,,,,,,,,,,,,,,,,,,,,24,,,,,,,,,,,,,,,,,,,,,10,,,,,,
139,Kresek Tulip Putih 24,,,gr,pack,10,,,,,,,,,,,,,,,,,,,,,,,,,,,26,,,,,,,,,,,,,,,,,,,,,10,,,,,,
140,Kol Putih,BASAH,,,gr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,500,,,,,,,,,,,,,,,0,KITCHEN,,1000,,,
141,Kunyit,KERING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,KITCHEN,,100,,,
142,Laja,KERING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,KITCHEN,,50,,,
143,Lid Hot + Stopper Small,,,pcs,pcs,5050,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5050,,,,,,
144,Lid Hot White Small,,,pcs,pcs,200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,200,,,,,,
