 ,VENDOR EKSISTING,NAMA BARANG,CATEGORY,PRODUK,MERK,UKURAN,SATUAN ISI,KEBUTUHAN PER PEKAN,HARGA EKSISTING,NAMA VENDOR BARU,NEXT VENDOR,HARGA EXISTING,HARGA 20/8/2026,,,Pekan I Mei,,
,Diisi oleh OUTLET,Diisi oleh OUTLET,Diisi oleh OUTLET,,Diisi oleh OUTLET,,,Diisi oleh OUTLET,,Diisi oleh tim Pengadaan PUSAT,,,,QTY,TOTAL BIAYA,ER Edelweiss,ER Summarecon,ER Cianjur
59,,dus take Away - branding ER,Kemasan,ER Coffeelab,,,,,,,,1.650,1.650,,,,,
60,,Emping,,,,,,,,MANDIRI (DIAN),,114.500,80.000,,,,,
61,,Extra joss,,ER Coffeelab,,,,,,,,70.800,70.800,,,,,
62,,French Fries Goldenfarm,Frozen,ER Coffeelab,Goldenfarm(sukanda),1kg,kg,10 pack/ minggu,Rp6.000,SUKANDA,,31.950,33.500,20,670.000,,,
63,,Garam Dolphine 1kg,Kering,,,1 kg,,,,,,16.667,16.667,,,,,
64,,Garam Dolphine 500gr,Kering,ER Coffeelab,Dolpin,500gr,gr,,,,,8.500,8.500,,,,,
65,,Garpu bambu / garpu buah,,,,1 pack,isi 100 pcs,,Rp8.000,,,8.000,8.000,,0,3,,
66,,Garpu plastik (100pcs),Kering,ER Coffeelab,hcjp,pack 50pcs,pack,2 pack/2 minggu,Rp30.000,Akapack,,16.900,16.900,,0,,,
67,,Gas LPG,Kering,ER Coffeelab,Esbe Gas,Tabung,tabung,,,,,,,,,,,
68,,Gas LPG,Kering,ER Coffeelab,Esbe Gas,Tabung,tabung,,,,,,,,,,,
69,Toko Senopatie,Gelatin,Kering,ER Coffeelab,,500 gr,,,Rp2.917.500,,,126.875,126.875,13,1.649.375,5,5,3
70,,Greenfield Fresh Milk,Basah,ER Coffeelab,Greenfeield,ctn,dus,2 pack,Rp17.000,Greebfield,62 813-8682-4729,22.000,19.500,,0,1,,
71,,Gula Aren Cair,Kemasan,ER Coffeelab,Dilco,Liter,kali,2 roll,Rp116.000,,,55.000,55.000,,0,,,
72,Toko Senopatie,Gula Halus Rose Brand,Kering,ER Coffeelab,,,,,Rp285.000,,,11.200,11.200,10,112.000,5,5,
73,Cleo,Gula Pasir Gulaku,Kering,ER Coffeelab,,,,10 dus,Rp47.000,,6.281.564.810.640,22.100,22.100,,0,,,
74,,Gula Pasir Gulaku,Kering,ER Coffeelab,gulaku,1 kg,kg,,,MANDIRI (DIAN),,18.000,18.000,,,,,
75,,Hand glove,Kemasan,Sanusa Kitchen,,,pack,2 botol/ 2 minggu,Rp55.000,toko mandiri,,9.450,9.450,6,56.700,,,
76,,Hand Glove Karet,Kemasan,ER Coffeelab,Latex(no powder),1 dus,dus,,Rp10.000,,,58.500,58.500,,0,,,
77,,Hand glove Karet hitam,Kering,Sanusa Kitchen,,L,,,,,,89.000,89.000,,,,,
78,,Hand glove Plastik,Kering,Sanusa Kitchen,Bestaft,,,,,,,10.125,10.125,,,,,
79,,Handsoap / sabun cuci tangan Botol,,,Botol,500 ml,,,Rp45.000,online,,20.800,20.800,2,41.600,,,
80,,Handsoap / sabun cuci tangan Refill,Basah,Sanusa Kitchen,Yuri Handsoap Refill,375 ml,pack,,Rp50.000,,,11.917,14.000,,18.000,,,
81,,Hansaplast,,,,,,,,,,9.000,9.000,,,,,
82,,Himalaya Salt 500gr,Kering,ER Coffeelab,,500 gr,,,Rp12.000,,,21.000,21.000,,0,,,
83,,Ice Cream Neopolitan Campina 5L,Frozen,Sanusa Kitchen,,,,,,,,199.900,199.900,,,,,
84,,Ice Cream Vanilla Diamond 8 L,,ER Coffeelab,Diamond,18 L,,,Rp12.000,MANDIRI (DIAN),isi 100pcs/pack,190.000,190.000,5,950.000,,3,
85,,Im boost,,ER Coffeelab,,,,,,,,117.000,117.000,,,,,
86,,Jays Bay leaves,Kering,ER Coffeelab,Jays,botol,botol,,,,,16.500,16.500,,,,,
87,,Jays Garlic Powder,,,,botol,,,,,,27.000,27.000,,,,,
88,,Jays Garlic Powder Sachet,Kering,ER Coffeelab,Jays,sachet,sachet,,,,,11.395,11.395,,,,,
89,,Jays Oregano,Kering,ER Coffeelab,Jays,botol,botol,,,,,20.000,20.000,,,,,
90,,Jays Oregano Sachet,Kering,ER Coffeelab,Jays,sachet,sachet,,,,,11.395,11.395,,,,,
91,,Jays Wijen,Kering,ER Coffeelab,Jays,botol,botol,,,,,26.100,20.000,,,,,
92,,Jeruk Nipis,Basah,ER Coffeelab,Pasar,250gr,kg,3 pcs (kondisional),Rp23.000,,,,32.000,,0,,,
93,,Jinten Cap Kupu Kupu,Kering,ER Coffeelab,kupu-kupu,botol,botol,,,,,15.000,15.000,,,,,
94,,Kacang Kedelei,Kering,ER Coffeelab,No Merk(pasar),pack,pack,,,,,10.000,10.000,,,3,,
95,,Kapulaga,Kering,ER Coffeelab,No Merk(pasar),pack,pack,,,,,180.000,180.000,3.000,540.000.000,1000,,
96,,Kapulaga,Kering,,,100gr,,,Rp18.000,borma,,16.875,16.875,3,50.625,1,1,
97,,Kecap manis anggur 600ml - botol kaca,,ER Coffeelab,,,,,,MANDIRI (DIAN),,33.000,27.500,,,,,
98,,Kecap Hitam Jamur - Pearl River Bridge,Basah,Sanusa Kitchen,,1 botol,600 ml,,,,,32.000,32.000,,,,,
99,,Kecap Inggris Sedap Wangi,Kemasan,ER Coffeelab,Sedap wangi,Botol tutup merah,botol,,Rp2.200,,,43.500,43.500,,0,,,
100,,Kecap Raos,Kemasan,ER Coffeelab,Raos,Botol,botol,,Rp55.000,,,19.519,19.519,,0,,,
101,,Kertas Nasi - warna putih,,,ukuran 25 x 27 cm,1 Pack,100 lembar,,,Maju Jaya,,20.000,20.000,,,,,
102,,Kertas Nasi Bunga,Kering,ER Coffeelab,Merk singa,pack,pack,,,,,17.000,17.000,10.500,178.500.000,,,
103,,Kerupuk DDN,Kering,ER Coffeelab,DDN,10 pack,pack,,,Distributor ,,5.167,4.000,1.825,7.300.000,,,
104,,Ketumbar Cap Kupu Kupu 25 gr,Kering,ER Coffeelab,kupu-kupu,botol,botol,,Rp8.000,,,8.000,8.000,1.500,12.000.000,1000,,
105,,Knorr Chicken Powder,Kering,ER Coffeelab,Knorr,1 kg,kg,,,MANDIRI (DIAN),,90.100,90.100,2.700,243.270.000,,,
106,,Knorr Demi Glace Sauce,Kering,ER Coffeelab,Knorr,1 kg,kg,1 botol,Rp25.000,toko mandiri,,151.500,151.500,4,606.000,2,,
107,,Kraft Hickory Smoke BBQ,Kemasan,ER Coffeelab,Kraft,botol 500gr,botol,,Rp18.000,,,51.000,51.000,,0,,,
108,,Kresek Diamond uk.10,Kering,ER Coffeelab,pusat,10 pack,pack,10 pack/2 minggu,Rp9.000,Akapack,62 815-7251-703,10.400,10.400,,0,,,
109,,Kresek Diamond uk.15,Kering,ER Coffeelab,pusat,10 pack,pack,7 pack/ 2 minggu,Rp15.000,Akapack,62 815-7251-703,16.200,16.200,17,275.400,,,
110,,Kresek Diamond uk.20,,,,,,1 botol,Rp30.000,,,16.875,16.875,,0,,,
